IMEI	Advertising ID
382266	1580403785673-9120462847047730237
282397	1579385582425-3292109269419955556
296830	1579431849286-1760553945435880902
393928	1581481052112-5829176954162595395
196858	1579110761068-1543560129812076411
353383	1579693674525-6309780077496854690
394112	1581509239318-6598719256314933502
378035	1580405381033-6849939180660762500
377060	1580247381443-636186163942600590
226483	1579255784140-2456904603439433665
230200	1579266939042-7608075402224751888
367722	1580032674042-1793006532353061359
394125	1581510714253-5475910698040578954
392976	1581353113021-570810673846285448
335897	1579550236487-8561904663162821526
368495	1580045592754-4343524631879785661
187928	1579073625479-1870876256862464405
344359	1580312738543-4519918172301401827
392811	1581335011892-300791131156459879
179528	1579035455285-241865921050237482
292919	1579424768363-1406241619262628113
383936	1580471856334-3713834205570428105
392295	1581269430105-4098190316185876739
263321	1579351544097-464202372421279898
245385	1579297679328-4430976193713828860
291661	1580239656065-2096687792244785358
373305	1580153137736-3246003365910660254
394074	1581503820286-4384471752242951137
328573	1579522175025-4744489154954243667
321004	1579477229717-5680050901297787566
267014	1579357486269-450962315663061236
342448	1579601329057-318659300777737363
390203	1581029497423-2318592797159100847
346018	1579623008981-6710324263761927050
393701	1581447316407-5183102608498619967
285546	1579395391247-535000989680537370
382197	1580402290110-6314459359633197000
394022	1581495667529-4145868193586651009
199647	1579121221615-3154441276330925632
189209	1579080529303-7977446088284448049
100840	1578637269698-6318757577431046359
365376	1579975520401-1025809253812121760
331100	1579532126875-8563930737560627895
264683	1579353689423-1083809798348944585
193161	1579096935872-1289850811747633540
244807	1579296569464-17876848633583016
363217	1579926596579-739670259511985946
381355	1580379790786-6061762045680714814
387773	1581476917315-8454232639130798646
92399	1578534160701-4673515771076547723
74889	1578246905248-8693835940446813134
393870	1581469808359-5385904975137375307
155774	1578955600037-7976924073319802762
263000	1579350948072-8592889069763917600
318265	1579469149158-7506090909115958677
374026	1580165726561-3065160501923409500
195372	1579105279407-2121074998894103633
356614	1579749623463-5274557318183625573
287685	1579407715170-8612500265391901916
164795	1578999021068-4606635893538247617
184131	1579048673700-5743358417266800263
286518	1579400478671-3539463972586225874
393838	1581464161514-3143870804830853506
248992	1579309008986-6220511524129797464
291460	1579421848107-3490517080377913419
202216	1579134369055-4889002095670828474
393804	1581459037336-2061603746798076268
387908	1581007936806-5524349179125363445
311027	1579456421907-6974528102364860305
124472	1578788112394-4826178391398514099
379553	1580322298851-6014960590932143304
122055	1578776158861-6218550120308046356
374641	1580192211881-2975078888546022939
338600	1579562586976-5088498351618453819
393782	1581457154980-493011525946675757
132015	1578841519367-7742474930087770907
393767	1581454981480-8201713110907253899
380505	1580340844163-3052991172597030346
341608	1579594322719-3199356791707163707
379249	1580317059828-6399353470070635813
80008	1578825561000-638129873137004313
56871	1577229480398-4084638427716159861
383754	1580462028616-3190287523418234929
210458	1579188268167-8228422929257671991
217167	1579207046354-3753558188793147759
196392	1579108829286-4445169533814953704
392439	1581282600917-6333231049011327257
128611	1579331278641-5143662883212065660
181628	1579039400515-5840131500673752621
231372	1579269817128-2070423928668662852
102865	1578653099910-4129985210421428047
361801	1579887316567-6683901286217775568
367290	1580024080086-244910039219559400
213832	1579199108207-460205993256673323
379825	1580326863655-6784280646468491334
132156	1578842988922-6394339912742759897
354398	1579708808016-8209555934139367076
355275	1579720361254-5207104401443491499
194164	1579100494846-5564530128158332753
281144	1579383003072-2000268006935245000
306582	1579449061981-802456680463223302
107088	1578681804497-8983172985774794668
328052	1579519966814-4698974092888448342
236616	1579282296695-6001374396392495129
332850	1580655352875-4825517596219822966
169456	1579010600753-4248231362461463303
307889	1579451633543-1984011210172024904
295862	1579430219713-3177020544709713621
386881	1580679827073-5753479852869523757
131748	1578843596050-7545480556691815150
162856	1578992644954-7472451236402927255
148885	1578938611213-1827908021177179009
376310	1580236249227-847838162375646520
381343	1580390005296-2481489049037496414
375458	1580218464274-1858098109922638962
392954	1581351490122-4974641623960380828
194035	1579100090883-3901742046613725829
192900	1579096023508-5466054908843384709
202463	1579137119349-5018264605053664997
195469	1579105336870-8195431755321949696
94547	1579115370204-6371921306418835977
157928	1578965756289-7160944922483959813
95156	1578594452271-2848423036114242689
171739	1579015834498-3486558002434462777
393183	1581373223548-171887864482334072
392737	1581326811455-5059704009031303112
340897	1579587581480-158477868930210191
151210	1578944296147-6704176830780027666
190515	1579086714825-7220327976827555356
352985	1579686854027-1950159343430071524
371536	1580111568098-8124790059094190316
326910	1579514222164-4497559561571589306
389866	1580996767679-5616024909293014314
373097	1580149886649-8090169809641214003
365280	1579974135973-6080573434110938745
189799	1579083565623-5747199739688890552
65654	1577510136010-4167132376644909011
344219	1579612849098-7002417901770633348
184284	1579049533468-3117488496423661261
306687	1579449377252-2014184687182214755
391998	1581245329413-7482769022442995800
182275	1579042679066-6054441303081034681
392894	1581343924377-3840785357413852807
385706	1580585770871-7772563198352830005
380929	1580362535006-1907434085898712571
385882	1580599556799-6294430413218988977
350198	1579646238237-8630391583733484362
236224	1579281548422-4876208315583595914
183799	1579047038210-4189052347810837226
197732	1579113982171-2123565755154664183
393164	1581370922748-5221054745593468489
392188	1581261196045-5914302454069132904
393112	1579449637391-6040005583369338879
162347	1578990830959-873475012899168498
392907	1581345599905-6396397442357968609
174967	1579024368859-4446908434308806496
150008	1578941402123-3674882640681937284
334530	1579545334016-4826341156381324530
228927	1579263678166-6883649140554997530
334166	1579544254890-8584827789384765606
143309	1578917706743-7540134446534432089
252900	1579330151344-5168865096488532820
140593	1578901686856-22396135704542212
358939	1579808206226-3476686328239880325
373479	1580155455702-7797203413992407225
391401	1581170793941-1493460801526296328
347223	1579629717130-7872117118771851490
383433	1580440215873-8854983936591596124
151603	1578945218566-2108304591016963619
391886	1581233042312-4498284188854127925
357528	1579780971539-997893891434612573
386897	1580678053999-3260677924554720384
94923	1578593152284-5447122218436744288
202814	1579141300581-4709096463298194222
391761	1581210967338-7545874170671662882
379679	1580324383461-7164749126312466498
110164	1578702279366-986761253856000397
56919	1577230886293-5262558874808057853
217956	1579211021192-5440768273568409501
89569	1578477106636-6725013860424733370
344077	1579611964921-4388929946875123821
207994	1579177954183-287701833459492929
280373	1579381610570-7917879387605276363
223807	1579243508994-2137205676106055604
268314	1579359722007-5185593775704926734
235733	1579280615946-8470928732477773720
153026	1578937522638-5577379101633887440
365612	1579978520825-7949394188056160172
101953	1578646161624-2322181147407202087
392934	1581349423125-5604512315074506890
392930	1581349034422-6788407800244045636
371019	1580087815221-7916302895497127156
103471	1578657564145-4289060989681347864
392766	1581330586167-579313937107844389
373241	1580152019688-8730164120381128744
96638	1578602806364-3439011634180854918
268516	1579359980642-600757984465896287
342019	1579597820695-5002425202587376659
162758	1578992320635-3552289432030841372
392455	1581284323110-7601082032098712663
377180	1580249945734-608134181479525213
105788	1578674073273-4244753607515734787
375284	1580213575783-558598001877184387
267648	1579358487939-3227996976432661578
381196	1580373723630-9129010084556762088
251045	1579321884392-1081770540426008926
199014	1579118568870-1443114957441723757
183264	1579044952992-44016891433639907
270650	1579364955271-199745672942051679
94353	1578589225420-5297835052205842709
384213	1580483261192-5072726154726002302
392654	1581316138872-4955176863305810937
382144	1580448239757-7552812076635223282
97191	1578605502795-1065224708051743663
318435	1579469568640-2795052484775610055
205791	1579166568780-7035676785846068642
379417	1580320455365-1229373591763795272
348743	1579637110542-7656534703622830020
331047	1579532048909-1557321988826061236
125423	1578796099267-8832478456528382866
298825	1579435404116-7923141896705117555
309294	1579453700504-4545850912403646007
334544	1580027019039-1057785064980778961
357413	1579777897102-3093226574923886921
392246	1581265868666-7536989202592526120
320025	1579473504430-7070596382257094706
375647	1580223077240-1573874556659573961
317049	1579466830157-275679470604185216
366840	1580002751650-7753034095127053994
223743	1579243110126-3299956609585388419
233233	1579274748190-6897970737590154148
87694	1578421406523-5320813720776850476
391888	1581233148437-3508156244789034306
371238	1580098451037-649365441584948310
380322	1580335939906-1786830397885058256
368067	1580039260703-9186220558693352521
384156	1580551370473-4240889995015891241
171601	1579015531915-1090237774834102780
181797	1579039907370-4927700657387549260
383262	1580432697582-3434922987892458524
343412	1579607807339-3502979918490993559
85743	1578351957200-5401315428689027512
380715	1580351256011-3388362413562968627
345960	1579622658404-4359119308710797982
164917	1578999358595-2726769030561869007
377045	1580247049837-2458892799638197822
350309	1579647217694-8006570636818156551
181508	1579039055892-8076436232695159192
358455	1579800027297-4548645299420652309
369992	1580067142687-2019734306557879563
137271	1578867167405-718616971846927062
268822	1579360542102-1333439446289981485
354547	1579711163373-3449119918744380074
392467	1581285325591-7685331660093226005
391655	1581195751562-5163827858286380379
369592	1580062073285-3264662196774763136
385679	1580584116325-9154544873908979293
388600	1580847275154-8123943436470374066
359632	1579821542415-1040832543432964288
246648	1579300464803-489322856097680601
218366	1579210025642-4096985805735903466
391920	1581238485293-3685726266862567019
390657	1581089188418-8153174779595972313
373331	1580153385129-6419419786726140437
84266	1578331972416-4648569869738119472
392406	1581279736763-7127639671166932574
392398	1581279520529-7188953070337280359
101146	1578639819288-2735637437199397289
241249	1579290352432-5074786906986210918
121023	1578772071568-3161116840981195922
181027	1579037866624-7008157086894507696
386808	1580673549304-6592966514530101709
153642	1581104868219-5989301087017603757
231330	1579269703623-6487623045330681818
373575	1580157184324-7255365952549002450
117188	1578755717298-8225437719424708602
392255	1581266911044-3555983926797025490
175080	1579024739873-624989498226940672
358757	1579805045647-416602402256344598
132780	1578845454669-2386762997778655616
370624	1580075923799-3126275953396183587
362848	1579907949656-9022950198577919204
349591	1579641725665-5933735066534158568
259559	1579344908729-7092410021016846464
376291	1580235992165-3014899952822554496
344409	1579613897325-8576854639596789104
389488	1578890230829-8946896354872297592
380061	1580330525902-5219722701383609244
336356	1579551934344-3570130437493857203
247814	1579303957299-3107836072035687118
391475	1581178409637-1044652799268670259
375452	1580218301486-1792522771451721674
341141	1579589859902-423193742230891458
193215	1579097151201-672800647104015233
353299	1579692325768-3862894290166286494
383031	1580420899837-7810749854835227571
231885	1579271124546-4811198328004621708
284328	1579390549578-3427278650578766372
386931	1580679904770-6652965042707131582
390972	1581117968599-2210236976909863263
390000	1581010241814-6005801566169587698
114574	1578742866682-8653102466730409634
382996	1580420100972-866157533671055128
184980	1579053433546-7207325933370644288
391834	1581225897035-2654854634133837703
223580	1579242228264-7790619514249851762
306821	1579449785985-626681914856756583
279348	1579379574587-833050133631798404
90388	1578497382670-8345359792577328595
245443	1579297811017-2281440830233222953
83260	1578317535564-5500762159167874460
381089	1580370034577-5002915725089684951
194260	1579100863598-4081493773437112591
146655	1578930717537-151011874883600267
370650	1580076453843-7592367014486386258
293432	1579425687750-7788564089839367508
147732	1578935241946-5491857520487187778
392126	1581256082832-5144157201802605201
172322	1579017189907-8092263063994114301
386347	1580645785815-1783490772201298145
385924	1580604288842-4727460160573440557
301999	1579442816344-1327312356933658257
217107	1579206881488-724483568573345443
219759	1579214488724-3000240010622782735
384116	1580482671891-3470691678146819700
391974	1581242958373-2907664108219761712
373355	1580767859931-1784832498966305036
306750	1579450912139-5046750954218587537
383727	1580460804634-1533460642562160221
158846	1578987583521-4473421761994513179
391526	1581182998595-6489566276760714775
306189	1579448195481-2011988148118965783
379664	1580403828663-1282450713206413512
271231	1579365979519-6883173503751593091
379277	1580317620206-9203029435212679096
364120	1579953416273-1175083826973170412
2312c0a6a38ff8e5f9a28f3a8718cb22	français
233949	1579276651039-2798674376898564120
170547	1579013027596-8755783956721078211
249842	1579313754017-4838165044675144629
289258	1579415939475-1886040709235386337
374646	1580192203198-497913211940560179
214327	1579200363004-4319511376601161089
239326	1579289376064-2413528069575285341
162826	1578995295098-727391019238780303
287400	1579406164999-3045712326241168053
368986	1580053612439-2505885324179425762
239358	1579287057029-8635389984143679614
206867	1579172802012-3665742687732483118
371413	1580106727728-3676891224267958979
256107	1579361911087-2436076367111497336
278108	1579377446064-8816437168512106064
380359	1580337126627-5468111547075571187
253191	1579331103174-3502269958266262069
165444	1579000777695-2246051715261791630
312496	1579458888240-1953844540782964029
367223	1580021958592-8427523795776243499
282322	1579385506285-5412167136162215118
391789	1581216057320-5417832268009080405
172115	1579024821392-5185300826606806896
127838	1578818214129-2480770326324375594
337536	1579556437210-2573999889389497959
390662	1581144132521-6506023701439660702
374082	1580167277386-4313312769820608050
359792	1579827259786-4707387657970924260
391752	1581209386478-1296716845984845287
151595	1578945182263-1469906461031119866
387796	1580763340422-2435632836887211233
229131	1579266685771-6303830881059781196
362523	1579900233512-7013969808884192199
391648	1581194973642-5271085280128291028
391723	1581206203838-5922240936224567323
391464	1581176837245-521491975794704181
307785	1579451507114-4123919220030961793
388572	1580845098164-5169369007956448998
49473	1576970212484-1005508710958766339
380678	1580349533107-3081562521183671755
261966	1579349182106-7313001119210081155
380528	1580341692887-8426153985107661978
92200	1578528162343-5065198742814854368
381613	1580387834002-9041744315025163498
387532	1580744099380-7160076263292283931
215057	1579202077017-8352339769120208904
167673	1579006224187-3143148135065730744
318885	1579470614199-3326133384171207840
307124	1579450422490-935804899429177869
390108	1581019811021-1749104291230855656
112955	1578731601665-501600438439292976
375152	1580210063141-7403752131501369248
248365	1579306074443-5693840911641171450
266901	1579357318064-4521789179255320909
